"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes"
"Ier3",89.0104774616966,-0.690236509533743,0.126446819479457,-5.45870993335566,4.79606552187303e-08,5.22678909854894e-06,"Ier3"
"Ch25h",1043.99665178387,-0.526868189270889,0.096612278380992,-5.45342888191889,4.940771123549e-08,5.2828962183306e-06,"Ch25h"
"Cish",481.799650004635,-0.403860620231972,0.0761147763693308,-5.30594241349832,1.12092343963151e-07,1.17634687636885e-05,"Cish"
"Il1rn",1330.69086220612,-0.494357290402039,0.0936399437493129,-5.27934202657684,1.29648600084404e-07,1.33585203032421e-05,"Il1rn"
"Nucb1",294.844429527254,0.472070920686578,0.0901743422486134,5.23509136762055,1.64903269473248e-07,1.66876219304446e-05,"Nucb1"
"Uggt1",94.9309908309036,0.50479835999734,0.0966681466956032,5.22197204821658,1.77027695211846e-07,1.75586063636264e-05,"Uggt1"
"Tcirg1",642.66187068307,0.571113505034461,0.109425688547701,5.21919041693306,1.79706929431856e-07,1.75586063636264e-05,"Tcirg1"
"Il6",310.992182691788,-0.894316089894681,0.172443680455161,-5.18613432243011,2.147039800314e-07,2.06224992345414e-05,"Il6"
"Cd14",1132.04455763873,-0.62874726855983,0.122553477929105,-5.13039106832651,2.89140845789944e-07,2.69614970417655e-05,"Cd14"
"Nfkbia",1701.69453502217,-0.539714089501481,0.105270090288552,-5.1269462011678,2.94479619997041e-07,2.69614970417655e-05,"Nfkbia"
"Atp6v0a1",245.474027127909,0.444292176810217,0.0866635796257491,5.1266308030301,2.94973145683688e-07,2.69614970417655e-05,"Atp6v0a1"
"Areg",79.5334494869245,-0.868880434101322,0.170385493209349,-5.09949771976038,3.40555972198121e-07,3.01551671007305e-05,"Areg"
"Sel1l",192.327118662844,0.517788445753438,0.101490097854546,5.10186172542198,3.36328451453382e-07,3.01551671007305e-05,"Sel1l"
"Il1f9",108.858762461426,-0.723662341113082,0.142460602806157,-5.07973662092218,3.77958496890864e-07,3.28677341108854e-05,"Il1f9"
"Il1r2",200.686751451187,-0.835777857552682,0.164609946067311,-5.07732295356518,3.82789915531751e-07,3.28677341108854e-05,"Il1r2"
"Igsf6",252.142989074851,-0.403602395244197,0.0797581525729005,-5.06032778122959,4.18536344675772e-07,3.54006785862328e-05,"Igsf6"
"Surf4",515.701928698952,0.341090218295956,0.0678453399974242,5.0274671526284,4.97000584305605e-07,4.14191516361744e-05,"Surf4"
"Cav1",164.954950440012,-0.619122644692071,0.123867875899826,-4.99825027429035,5.78528668572133e-07,4.7514811084033e-05,"Cav1"
"Sec61a1",360.10713111456,0.307076658321884,0.0617287400000968,4.97461406666331,6.53777585194452e-07,5.29279653613851e-05,"Sec61a1"
"Pde4b",202.330610980497,-0.509429913870863,0.102741981134629,-4.95834232749828,7.10972056622716e-07,5.67475865476188e-05,"Pde4b"
"Sdc4",621.811401379815,-0.669603545335237,0.136942637645095,-4.88966443797149,1.01008014999761e-06,7.9501725139395e-05,"Sdc4"
"Asns",27.522802549915,0.827110066928709,0.170198426627582,4.8596810400518,1.17575022939087e-06,9.12736513692886e-05,"Asns"
"Clec4e",1178.41243380511,-0.531424526634606,0.10941714496952,-4.85686705481708,1.19257605617353e-06,9.13287636531809e-05,"Clec4e"
"Spcs2",352.74774012326,0.404578063555639,0.0834676786006387,4.84712250704122,1.25265080732862e-06,9.46502950017503e-05,"Spcs2"
"Ppp1r15a",247.510054185601,-0.584668747605156,0.120891013306773,-4.83632928215682,1.32258760387247e-06,9.86197888308589e-05,"Ppp1r15a"
"Syvn1",53.4739729098483,0.683889067383962,0.141547756851692,4.83150763102881,1.35503023962503e-06,9.97267060773385e-05,"Syvn1"
"Jag1",32.3079417545648,-0.825667562219687,0.171040390889506,-4.82732504249876,1.38379165430022e-06,0.000100537785960504,"Jag1"
"Ssr3",276.232721366152,0.343887961015808,0.0719101787945414,4.78218753979668,1.73397789545719e-06,0.000124385477639948,"Ssr3"
"Cflar",400.468199765614,-0.387124629574491,0.0810447448427401,-4.77667775160094,1.78215022640595e-06,0.000126243066663032,"Cflar"
"Stt3a",220.276609760419,0.349198826375013,0.0731550541146442,4.77340671264859,1.81135471516935e-06,0.000126727742850181,"Stt3a"
"Acsl1",509.726670518668,-0.583990446825341,0.122596856575093,-4.76350261450329,1.90261144454106e-06,0.000131489012880661,"Acsl1"
"Bcat2",100.94358990812,0.420803332425092,0.0885137769405252,4.75409983586896,1.99332525759892e-06,0.000136098484756784,"Bcat2"
