Associated Gene Name,Avg Length,Avg GC,Avg KPK
0610005C13Rik,949.666666667,0.564849182348,992.940266011
0610007P14Rik,1180.0,0.491543002211,1000.0
0610009B22Rik,852.5,0.428669628625,1000.0
0610009E02Rik,915.0,0.500853892955,1000.0
0610009L18Rik,619.0,0.602584814216,1000.0
0610009O20Rik,2404.0,0.557404326123,1000.0
0610010F05Rik,2672.75,0.423499268875,1000.0
0610010K14Rik,643.333333333,0.574789703397,1000.0
0610011F06Rik,718.4,0.585078027581,1000.0
0610012D04Rik,531.0,0.478342749529,1000.0
0610025J13Rik,690.666666667,0.532748397195,999.47753396
0610030E20Rik,4632.0,0.470207253886,977.695972282
0610031O16Rik,836.75,0.480960735351,1000.0
0610037L13Rik,1048.0,0.508828798305,999.876064378
0610038B21Rik,1605.5,0.55993396313,981.769276748
0610039K10Rik,951.5,0.584340676334,1000.0
0610040B10Rik,550.5,0.452370259481,1000.0
0610040F04Rik,1734.0,0.482698961938,1000.0
0610040J01Rik,1870.0,0.534759358289,1000.0
0610043K17Rik,493.0,0.464414556408,1000.0
1010001B22Rik,589.0,0.553480475382,1000.0
1010001N08Rik,1347.5,0.469868210082,1000.0
1110001J03Rik,489.5,0.529617954071,1000.0
1110002E22Rik,5103.0,0.467024648062,999.794386759
1110002J07Rik,2236.0,0.471824686941,998.199819982
1110002L01Rik,1756.5,0.482249778538,998.993589474
1110004E09Rik,696.166666667,0.545829849724,1000.0
1110004F10Rik,1247.25,0.448956701745,1000.0
1110007C09Rik,804.0,0.587064676617,1000.0
1110008E08Rik,722.0,0.522161666504,1000.0
1110008F13Rik,1091.75,0.510266792325,1000.0
1110008L16Rik,2132.16666667,0.462975194291,998.616053776
1110008P14Rik,1649.0,0.598949579832,994.623655914
1110012L19Rik,1094.0,0.488117001828,1000.0
1110015O18Rik,857.333333333,0.352972682507,1000.0
1110017D15Rik,742.111111111,0.544758797354,1000.0
1110018N20Rik,986.0,0.5068791834,975.441808535
1110019D14Rik,945.0,0.411242618694,1000.0
1110020A21Rik,853.0,0.46776084408,1000.0
1110025L11Rik,591.0,0.467005076142,967.071057192
1110028F11Rik,610.0,0.504559052441,998.177399757
1110028F18Rik,1341.0,0.489932885906,1000.0
1110032A03Rik,1056.11111111,0.47480396686,997.782626863
1110032F04Rik,2578.0,0.529868114818,999.609984399
1110034G24Rik,906.0,0.509076667784,994.994311718
1110035H17Rik,1241.0,0.591458501209,995.925020375
1110036E04Rik,777.0,0.521235521236,1000.0
1110037F02Rik,5677.0,0.447572460191,998.879296776
1110038B12Rik,665.625,0.511504989984,1000.0
1110038F14Rik,1010.0,0.566336633663,1000.0
1110046J04Rik,1316.66666667,0.497659760526,1000.0
1110051M20Rik,1135.25,0.503263243465,1000.0
1110054M08Rik,1603.0,0.495321272614,1000.0
1110057K04Rik,2690.5,0.466999414099,1000.0
1110057P08Rik,458.0,0.412663755459,1000.0
1110058L19Rik,554.5,0.454488276658,1000.0
1110059E24Rik,697.666666667,0.429650947595,1000.0
1110059G10Rik,2042.0,0.40266081976,1000.0
1110065P20Rik,937.333333333,0.625166606654,1000.0
1190002F15Rik,439.6,0.505771185718,1000.0
1190002N15Rik,3950.0,0.44835443038,1000.0
1190003K10Rik,1097.0,0.446672743847,1000.0
1190005I06Rik,628.333333333,0.636401828091,1000.0
1190007I07Rik,556.875,0.505459446698,1000.0
1200007C13Rik,2455.0,0.562118126273,992.216304793
1200014J11Rik,3013.33333333,0.468021454305,999.528544716
1300002E11Rik,2504.66666667,0.432802434751,961.850982352
1300017J02Rik,1407.33333333,0.512287687352,998.261336655
1500002C15Rik,2080.0,0.505769230769,1000.0
1500004A13Rik,2108.33333333,0.487841599387,998.493548781
1500009C09Rik,1539.0,0.553208306873,974.424370962
1500009L16Rik,1193.0,0.461860854987,1000.0
1500011B03Rik,956.0,0.525008842884,1000.0
1500011K16Rik,800.0,0.445,1000.0
1500012F01Rik,624.2,0.481082151224,1000.0
1500012K07Rik,2341.0,0.440837249039,999.57026214
1500015A07Rik,1059.33333333,0.515049132512,1000.0
1500015L24Rik,536.0,0.420855286266,1000.0
1500015O10Rik,902.0,0.527716186253,1000.0
1500017E21Rik,1206.0,0.44889365369,998.411712015
1500026H17Rik,3027.0,0.428807400066,1000.0
1500035N22Rik,865.0,0.477456647399,1000.0
1520401A03Rik,2505.25,0.551840462299,972.14326405
1600002D24Rik,1135.0,0.499800327774,1000.0
1600002H07Rik,1484.0,0.552795290145,1000.0
1600002K03Rik,678.0,0.563421828909,996.987951807
1600012H06Rik,2199.66666667,0.441771385051,1000.0
1600012P17Rik,1503.5,0.441391736918,1000.0
1600014C10Rik,1958.88888889,0.536165143912,1000.0
1600014C23Rik,518.0,0.523166023166,1000.0
1600014K23Rik,835.0,0.547305389222,1000.0
1600015I10Rik,2485.0,0.504225352113,1000.0
1600020E01Rik,1347.5,0.502195444067,1000.0
1600025M17Rik,606.5,0.443463115767,1000.0
1600029I14Rik,797.5,0.523171597633,1000.0
1700001C02Rik,706.666666667,0.557450672755,1000.0
1700001C19Rik,895.25,0.533341626121,1000.0
1700001F09Rik,884.0,0.397058823529,1000.0
1700001G01Rik,887.5,0.413909254363,1000.0
1700001G11Rik,732.0,0.512793005931,1000.0
1700001J03Rik,778.0,0.493573264781,1000.0
1700001J04Rik,633.5,0.541908962017,1000.0
1700001K19Rik,954.0,0.567085953878,1000.0
1700001L05Rik,1316.75,0.482107948576,997.391653291
1700001L19Rik,1808.0,0.462942477876,1000.0
1700001O22Rik,878.846153846,0.578069676206,1000.0
1700001P01Rik,624.0,0.508012820513,1000.0
1700003D09Rik,1389.0,0.536357091433,1000.0
1700003E16Rik,2050.0,0.607317073171,1000.0
1700003E24Rik,577.0,0.450606585789,1000.0
1700003F12Rik,697.0,0.650818442477,1000.0
1700003G13Rik,619.0,0.525762111958,1000.0
1700003G18Rik,464.0,0.418518981019,1000.0
1700003H04Rik,720.333333333,0.430172354012,1000.0
1700003M02Rik,1095.66666667,0.480382009198,1000.0
1700003M07Rik,552.5,0.523549442194,1000.0
1700006A11Rik,2159.0,0.412227883279,998.601398601
1700006E09Rik,525.666666667,0.458118930976,1000.0
1700006J14Rik,1209.25,0.483181662603,985.442513472
1700007B14Rik,1974.0,0.417013499659,1000.0
1700007G11Rik,702.0,0.468660968661,1000.0
1700007J10Rik,895.0,0.48422920348,1000.0
1700007K09Rik,360.0,0.486111111111,1000.0
1700007K13Rik,641.0,0.52501116825,930.915843359
1700007L15Rik,737.0,0.521031207598,1000.0
1700007M16Rik,435.0,0.448275862069,1000.0
1700007P06Rik,823.0,0.5042527339,1000.0
1700008F21Rik,1102.83333333,0.381832360136,1000.0
1700008I05Rik,1776.0,0.411036036036,1000.0
1700008O03Rik,1072.0,0.571387083525,1000.0
1700008P02Rik,788.0,0.439086294416,1000.0
1700009J07Rik,912.0,0.532894736842,976.614699332
1700009N14Rik,1258.0,0.5,1000.0
1700009P17Rik,680.625,0.508669756122,1000.0
1700010B08Rik,899.0,0.509454949944,1000.0
1700010D01Rik,499.0,0.452905811623,1000.0
1700010H22Rik,378.0,0.428571428571,1000.0
1700010I14Rik,1737.66666667,0.488390612502,997.910731244
1700010K23Rik,376.0,0.396276595745,1000.0
1700010K24Rik,226.0,0.473451327434,1000.0
1700010L04Rik,589.0,0.454920222736,1000.0
1700011A15Rik,903.0,0.572535991141,1000.0
1700011E24Rik,847.0,0.504132231405,1000.0
1700011H14Rik,919.333333333,0.453509623721,1000.0
1700011I03Rik,783.5,0.473931563464,1000.0
1700011L22Rik,978.0,0.526584867076,1000.0
1700011M02Rik,420.0,0.533333333333,1000.0
1700012A03Rik,590.0,0.515708104513,978.106585342
1700012B07Rik,1178.66666667,0.508799237379,1000.0
1700012B09Rik,679.0,0.494845360825,1000.0
1700012C08Rik,363.0,0.495867768595,1000.0
1700012C14Rik,461.5,0.496257973069,1000.0
1700012L04Rik,539.0,0.513914656772,1000.0
1700012P22Rik,974.0,0.484599589322,1000.0
1700013D24Rik,535.0,0.459813084112,1000.0
1700013F07Rik,628.333333333,0.494678942975,999.553172475
1700013G24Rik,1048.0,0.56393129771,1000.0
1700013H16Rik,1224.0,0.420751633987,950.41322314
1700013N06Rik,663.0,0.469079939668,1000.0
1700014D04Rik,1465.33333333,0.495182239399,1000.0
1700015E13Rik,771.0,0.534370946822,1000.0
1700015F17Rik,683.666666667,0.425303620117,1000.0
1700015G11Rik,388.0,0.458762886598,1000.0
1700015O11Rik,682.0,0.510263929619,1000.0
1700016C15Rik,768.0,0.458333333333,1000.0
1700016D06Rik,1266.0,0.45102685624,1000.0
1700016G14Rik,863.0,0.45191193511,1000.0
1700016H13Rik,951.5,0.507308518385,1000.0
1700016K19Rik,921.0,0.57111834962,1000.0
1700016P03Rik,863.0,0.464658169177,1000.0
1700017B05Rik,4934.0,0.573368463721,1000.0
1700017D01Rik,1194.0,0.428810720268,1000.0
1700017G19Rik,1573.5,0.454000531709,1000.0
1700017I07Rik,462.0,0.495670995671,1000.0
1700017J07Rik,473.0,0.501057082452,1000.0
1700017N19Rik,1690.0,0.41775147929,1000.0
1700018A04Rik,937.333333333,0.508858879728,1000.0
1700018B08Rik,919.5,0.58481240247,997.721509372
1700018B24Rik,592.0,0.486486486486,1000.0
1700018C11Rik,674.5,0.515195276781,1000.0
1700018F24Rik,1119.0,0.476318141197,998.190045249
1700019A02Rik,627.0,0.382775119617,1000.0
1700019B03Rik,1582.33333333,0.540748696716,1000.0
1700019B21Rik,670.5,0.422771895663,1000.0
1700019D03Rik,3608.33333333,0.403495321051,998.887048963
1700019E08Rik,529.5,0.448040781459,1000.0
1700019G17Rik,2074.0,0.491357217692,1000.0
1700019G24Rik,503.0,0.453280318091,1000.0
1700019L03Rik,999.5,0.54462148398,1000.0
1700019M22Rik,602.0,0.453488372093,1000.0
1700019N19Rik,976.5,0.526963010351,1000.0
1700019O17Rik,1721.0,0.551423590936,978.324545987
1700020A23Rik,611.5,0.576399483789,1000.0
1700020I14Rik,4840.5,0.415183252925,997.465604634
1700020L24Rik,939.0,0.597444089457,1000.0
1700020N01Rik,449.0,0.538975501114,1000.0
1700020N15Rik,525.0,0.43619047619,1000.0
1700021A07Rik,309.0,0.501618122977,1000.0
1700021F05Rik,627.0,0.513206745977,1000.0
1700021F07Rik,646.0,0.547987616099,1000.0
1700021J08Rik,575.0,0.575652173913,1000.0
1700021K19Rik,2910.88888889,0.53979354993,999.951416217
1700021L23Rik,726.0,0.506887052342,1000.0
1700021N21Rik,904.0,0.522123893805,1000.0
1700021P04Rik,659.0,0.497723823976,1000.0
1700022I11Rik,2371.5,0.479370033109,1000.0
1700022N22Rik,709.0,0.521861777151,1000.0
1700023C21Rik,389.0,0.444730077121,1000.0
1700023E05Rik,1368.66666667,0.517546538103,1000.0
1700023F06Rik,846.6,0.585357737738,993.425605536
1700023H06Rik,1044.0,0.429118773946,998.058252427
1700023L04Rik,781.0,0.496064215085,1000.0
1700024B05Rik,1574.5,0.410606611893,1000.0
1700024G13Rik,398.0,0.552763819095,1000.0
1700024P04Rik,476.0,0.457983193277,1000.0
1700024P16Rik,3119.0,0.460300368518,1000.0
1700025C18Rik,702.0,0.539886039886,1000.0
1700025D23Rik,846.0,0.481087470449,1000.0
1700025F22Rik,612.0,0.399721173708,1000.0
1700025G04Rik,4522.33333333,0.447104925636,993.772531361
1700025N21Rik,686.0,0.504373177843,1000.0
1700025O08Rik,456.0,0.394736842105,1000.0
1700026D08Rik,1589.66666667,0.482474803025,1000.0
1700026D11Rik,865.0,0.48909933672,994.515290019
1700026J12Rik,1141.0,0.406689790541,1000.0
1700026J14Rik,794.0,0.518891687657,1000.0
1700026L06Rik,578.5,0.552952599987,1000.0
1700027A07Rik,458.0,0.5,1000.0
1700027I24Rik,696.0,0.395114942529,1000.0
1700028E10Rik,1475.0,0.462277193027,1000.0
1700028I16Rik,1052.0,0.533266828591,1000.0
1700028J19Rik,1245.0,0.543775100402,1000.0
1700028K03Rik,2611.8,0.418524932802,959.507413285
1700028N14Rik,747.0,0.570281124498,995.907230559
1700028P14Rik,868.0,0.46198156682,1000.0
1700028P15Rik,1543.0,0.463612186136,995.473251029
1700029F12Rik,1128.0,0.503546099291,989.228007181
1700029H14Rik,916.0,0.56249199538,1000.0
1700029I15Rik,389.0,0.57562818742,1000.0
1700029J07Rik,2040.0,0.459932999237,991.746148202
1700029M20Rik,1335.5,0.512137262684,1000.0
1700029N11Rik,565.0,0.433628318584,1000.0
1700029P11Rik,1024.0,0.5185546875,1000.0
1700030A11Rik,888.0,0.488738738739,1000.0
1700030C10Rik,1471.0,0.586675730795,1000.0
1700030C12Rik,590.75,0.480734083719,1000.0
